vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
compact,2.0,4,Automatic with select shift,Premium gasoline,8.5,196.0
compact,2.4,4,Manual,Premium gasoline,9.6,221.0
compact,1.5,4,Continuously variable,Premium gasoline,5.9,136.0
suv - small,3.5,6,Automatic with select shift,Premium gasoline,11.1,255.0
suv - small,3.5,6,Automatic with select shift,Premium gasoline,10.6,244.0
mid-size,3.5,6,Automatic with select shift,Premium gasoline,10.0,230.0
mid-size,3.5,6,Automatic with select shift,Premium gasoline,10.1,232.0
mid-size,3.7,6,Automatic with select shift,Premium gasoline,11.1,255.0
mid-size,3.7,6,Manual,Premium gasoline,11.6,267.0
compact,2.4,4,Automatic with select shift,Premium gasoline,9.2,212.0
compact,2.4,4,Manual,Premium gasoline,9.8,225.0
compact,3.5,6,Automatic with select shift,Premium gasoline,10.4,239.0
two-seater,1.8,4,Automated manual,Premium gasoline,8.4,193.0
minicompact,5.9,12,Automatic,Premium gasoline,15.6,359.0
subcompact,5.9,12,Automatic,Premium gasoline,15.6,359.0
two-seater,4.7,8,Automated manual,Premium gasoline,14.7,338.0
two-seater,4.7,8,Manual,Premium gasoline,15.4,354.0
two-seater,4.7,8,Automated manual,Premium gasoline,14.7,338.0
two-seater,4.7,8,Manual,Premium gasoline,15.4,354.0
minicompact,5.9,12,Automatic,Premium gasoline,15.6,359.0
compact,2.0,4,Continuously variable,Premium gasoline,8.8,202.0
compact,2.0,4,Automatic with select shift,Premium gasoline,10.0,230.0
compact,2.0,4,Manual,Premium gasoline,9.3,214.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,10.0,230.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,10.0,230.0
subcompact,2.0,4,Manual,Premium gasoline,9.3,214.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,10.2,235.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.9,251.0
mid-size,3.0,6,Automatic with select shift,Diesel,8.1,217.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,11.2,262.0
mid-size,3.0,6,Automatic with select shift,Diesel,8.1,217.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,11.2,258.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,11.3,265.0
mid-size,3.0,6,Automatic with select shift,Diesel,8.4,224.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,11.2,258.0
full-size,4.0,8,Automatic with select shift,Premium gasoline,12.5,288.0
full-size,6.3,12,Automatic with select shift,Premium gasoline,15.5,363.0
full-size,3.0,6,Automatic with select shift,Diesel,8.4,224.0
station wagon - small,2.0,4,Automatic with select shift,Premium gasoline,10.5,242.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,10.4,239.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,11.2,258.0
suv - small,3.0,6,Automatic with select shift,Diesel,9.0,244.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.2,212.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,13.2,304.0
suv - standard,3.0,6,Automatic with select shift,Diesel,10.7,290.0
two-seater,4.2,8,Automatic,Premium gasoline,14.6,336.0
two-seater,4.2,8,Manual,Premium gasoline,17.7,407.0
two-seater,5.2,10,Automatic,Premium gasoline,14.8,347.0
two-seater,5.2,10,Manual,Premium gasoline,17.8,409.0
two-seater,4.2,8,Automatic,Premium gasoline,14.6,336.0
two-seater,4.2,8,Manual,Premium gasoline,17.7,407.0
two-seater,5.2,10,Automatic,Premium gasoline,14.8,347.0
two-seater,5.2,10,Manual,Premium gasoline,17.8,409.0
subcompact,4.2,8,Automatic,Premium gasoline,13.3,306.0
subcompact,4.2,8,Automatic,Premium gasoline,13.4,308.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,12.5,293.0
compact,3.0,6,Automatic,Premium gasoline,11.4,262.0
compact,3.0,6,Manual,Premium gasoline,12.4,285.0
subcompact,3.0,6,Automatic,Premium gasoline,11.4,262.0
subcompact,3.0,6,Manual,Premium gasoline,12.4,285.0
subcompact,3.0,6,Automatic,Premium gasoline,11.6,267.0
mid-size,4.0,8,Automatic,Premium gasoline,12.2,281.0
mid-size,4.0,8,Automatic,Premium gasoline,12.2,281.0
